date,ip,city,province
2016/10/17 15:02,120.197.202.24,佛山市,广东省
2016/10/17 15:02,117.136.32.104,广州市,广东省
2016/10/17 15:02,223.104.1.227,广州市,广东省
2016/10/17 15:04,120.197.197.4,佛山市,广东省
2016/10/17 15:05,117.136.41.109,广州市,广东省
2016/10/17 15:05,223.104.1.139,广州市,广东省
2016/10/17 15:05,117.136.41.72,广州市,广东省
2016/10/17 15:05,223.104.63.45,北京市,北京市
2016/10/17 15:06,117.136.31.220,广州市,广东省
2016/10/17 15:06,117.136.41.38,广州市,广东省
2016/10/17 15:07,223.104.63.60,北京市,北京市
2016/10/17 15:07,120.197.200.58,佛山市,广东省
2016/10/17 15:07,221.179.8.36,广州市,广东省
2016/10/17 15:07,223.104.63.23,北京市,北京市
2016/10/17 15:07,117.136.40.32,广州市,广东省
2016/10/17 15:08,120.197.199.40,佛山市,广东省
2016/10/17 16:03,117.136.79.245,佛山市,广东省
2016/10/17 16:03,120.77.36.91,深圳市,广东省
2016/10/17 16:03,120.197.200.18,佛山市,广东省
2016/10/17 16:03,117.136.39.227,广州市,广东省
2016/10/17 16:04,117.136.79.51,佛山市,广东省
2016/10/17 16:04,120.197.193.114,佛山市,广东省
2016/10/17 16:04,117.136.40.166,广州市,广东省
2016/10/17 16:04,117.136.32.99,广州市,广东省
2016/10/17 16:05,223.104.63.24,北京市,北京市
2016/10/17 16:07,223.104.1.159,广州市,广东省
2016/10/17 16:07,120.197.202.86,佛山市,广东省
2016/10/17 16:08,117.136.79.240,佛山市,广东省
2016/10/17 16:09,117.136.32.54,广州市,广东省
2016/10/17 16:09,223.104.63.62,北京市,北京市
2016/10/17 16:10,117.136.33.166,广州市,广东省
2016/10/17 16:10,117.136.41.57,广州市,广东省
2016/10/17 17:02,223.104.63.48,北京市,北京市
2016/10/17 17:03,117.136.79.184,佛山市,广东省
2016/10/17 17:04,117.136.79.97,佛山市,广东省
2016/10/17 17:04,117.136.79.204,佛山市,广东省
2016/10/17 17:04,111.151.187.158,茂名市,广东省
2016/10/17 17:04,117.136.41.92,广州市,广东省
2016/10/17 17:04,117.136.40.53,广州市,广东省
2016/10/17 17:05,117.136.32.54,广州市,广东省
2016/10/17 17:05,117.136.32.80,广州市,广东省
2016/10/17 17:05,117.136.32.97,广州市,广东省
2016/10/17 17:05,117.136.79.63,佛山市,广东省
2016/10/17 17:05,117.136.31.222,广州市,广东省
2016/10/17 17:05,223.104.63.52,北京市,北京市
2016/10/17 17:05,223.104.1.22,深圳市,广东省
2016/10/17 17:05,120.197.199.73,佛山市,广东省
2016/10/17 17:05,223.104.63.46,北京市,北京市
2016/10/17 17:06,117.136.40.22,广州市,广东省
2016/10/17 17:06,112.74.175.168,深圳市,广东省
2016/10/17 17:06,117.136.41.86,广州市,广东省
2016/10/17 17:07,117.136.41.82,广州市,广东省
2016/10/17 17:07,117.136.79.12,佛山市,广东省
2016/10/17 17:07,120.197.202.83,佛山市,广东省
2016/10/17 17:07,117.136.79.182,佛山市,广东省
2016/10/17 17:07,117.136.41.47,广州市,广东省
2016/10/17 17:08,120.197.197.11,佛山市,广东省
2016/10/17 18:03,223.104.1.115,广州市,广东省
2016/10/17 18:03,120.197.196.82,佛山市,广东省
2016/10/17 18:04,117.136.12.117,广州市,广东省
2016/10/17 18:04,117.136.12.120,广州市,广东省
2016/10/17 18:04,117.136.79.83,佛山市,广东省
2016/10/17 18:04,117.136.79.140,佛山市,广东省
2016/10/17 18:04,117.136.40.144,广州市,广东省
